Geography,Code,Date,Units,Metric,variable,value
United Kingdom,K02000001,2010,Thousands,Vehicles with over 4 changes,HGVs,0.68
United Kingdom,K02000001,2011,Thousands,Vehicles with over 4 changes,HGVs,0.4
United Kingdom,K02000001,2012,Thousands,Vehicles with over 4 changes,HGVs,0.79
United Kingdom,K02000001,2013,Thousands,Vehicles with over 4 changes,HGVs,0.02
United Kingdom,K02000001,2014,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2015,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2016,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2017,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2018,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2019,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2020,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2021,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2022,Thousands,Vehicles with over 4 changes,HGVs,0.0
United Kingdom,K02000001,2010,Thousands,Total changes of keeper,LGVs,856.76
United Kingdom,K02000001,2011,Thousands,Total changes of keeper,LGVs,839.21
United Kingdom,K02000001,2012,Thousands,Total changes of keeper,LGVs,832.87
United Kingdom,K02000001,2013,Thousands,Total changes of keeper,LGVs,735.16
United Kingdom,K02000001,2014,Thousands,Total changes of keeper,LGVs,714.7
United Kingdom,K02000001,2015,Thousands,Total changes of keeper,LGVs,845.82
United Kingdom,K02000001,2016,Thousands,Total changes of keeper,LGVs,851.3
United Kingdom,K02000001,2017,Thousands,Total changes of keeper,LGVs,893.02
United Kingdom,K02000001,2018,Thousands,Total changes of keeper,LGVs,902.08
United Kingdom,K02000001,2019,Thousands,Total changes of keeper,LGVs,925.0
United Kingdom,K02000001,2020,Thousands,Total changes of keeper,LGVs,932.31
United Kingdom,K02000001,2021,Thousands,Total changes of keeper,LGVs,927.47
United Kingdom,K02000001,2022,Thousands,Total changes of keeper,LGVs,883.77
United Kingdom,K02000001,2010,Thousands,Vehicles with 0 changes,LGVs,3004.49
United Kingdom,K02000001,2011,Thousands,Vehicles with 0 changes,LGVs,3347.1
United Kingdom,K02000001,2012,Thousands,Vehicles with 0 changes,LGVs,3194.93
United Kingdom,K02000001,2013,Thousands,Vehicles with 0 changes,LGVs,3290.58
United Kingdom,K02000001,2014,Thousands,Vehicles with 0 changes,LGVs,3510.87
United Kingdom,K02000001,2015,Thousands,Vehicles with 0 changes,LGVs,3754.66
United Kingdom,K02000001,2016,Thousands,Vehicles with 0 changes,LGVs,3992.88
United Kingdom,K02000001,2017,Thousands,Vehicles with 0 changes,LGVs,4195.06
United Kingdom,K02000001,2018,Thousands,Vehicles with 0 changes,LGVs,4375.18
United Kingdom,K02000001,2019,Thousands,Vehicles with 0 changes,LGVs,4539.36
United Kingdom,K02000001,2020,Thousands,Vehicles with 0 changes,LGVs,4680.05
United Kingdom,K02000001,2021,Thousands,Vehicles with 0 changes,LGVs,4922.34
United Kingdom,K02000001,2022,Thousands,Vehicles with 0 changes,LGVs,5087.77
